open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,time
1784626740000,66330.71,66330.71,66304.28,66324.25,6.37341,1784626799999,422672.5961523,1886,2.76625,183433.1403653,0,1784626740
1784626800000,66324.26,66324.26,66296.0,66296.0,11.01544,1784626859999,730378.544726,1071,0.59013,39126.5953218,0,1784626800
1784626860000,66296.0,66296.01,66288.0,66291.99,6.45602,1784626919999,427972.626032,576,4.05885,269054.5736216,0,1784626860
1784626920000,66292.0,66311.72,66291.99,66311.71,4.3033,1784626979999,285315.6728914,1097,2.23631,148265.3331041,0,1784626920
1784626980000,66311.72,66311.72,66304.0,66310.0,4.3211,1784627039999,286529.9087696,920,1.18274,78423.904896,0,1784626980
1784627040000,66310.0,66311.3,66306.78,66306.79,3.88901,1784627099999,257880.2375962,483,2.71381,179953.7174595,0,1784627040
1784627100000,66306.78,66310.0,66300.0,66300.01,2.1206,1784627159999,140608.228624,1009,0.69615,46159.3747809,0,1784627100
1784627160000,66300.0,66305.56,66300.0,66305.55,4.81588,1784627219999,319297.0847678,354,4.28985,284420.0005362,0,1784627160
1784627220000,66305.56,66312.0,66305.55,66311.99,2.2389,1784627279999,148455.9710201,412,1.55542,103136.1773485,0,1784627220
1784627280000,66312.0,66326.69,66305.55,66314.65,23.77404,1784627339999,1576567.3271904,1115,18.88178,1252147.1464051,0,1784627280
1784627340000,66314.65,66317.08,66314.64,66317.07,3.27662,1784627399999,217293.5601638,439,1.26435,83847.7630163,0,1784627340
1784627400000,66317.08,66317.08,66276.0,66282.41,21.43143,1784627459999,1420860.3932184,2149,1.01,66947.7786223,0,1784627400
1784627460000,66282.4,66315.99,66282.4,66315.98,3.69111,1784627519999,244695.1401356,1102,2.07284,137416.6632804,0,1784627460
1784627520000,66315.99,66335.5,66315.98,66330.01,7.18669,1784627579999,476686.3693796,1134,4.06107,269349.1466146,0,1784627520
1784627580000,66330.0,66345.9,66325.12,66334.01,5.16811,1784627639999,342839.6982869,1702,1.96893,130607.6843492,0,1784627580
1784627640000,66334.0,66345.9,66334.0,66345.89,4.46131,1784627699999,295954.0376063,875,3.07295,203851.8451898,0,1784627640
1784627700000,66345.9,66350.0,66345.89,66349.99,7.80264,1784627759999,517674.762438,585,6.59152,437321.1379892,0,1784627700
1784627760000,66350.0,66350.0,66340.0,66341.89,5.47733,1784627819999,363413.5565042,998,0.86964,57697.5428136,0,1784627760
1784627820000,66341.89,66341.89,66290.0,66290.01,6.15539,1784627879999,408203.5482084,1878,1.78274,118213.847961,0,1784627820
1784627880000,66290.0,66290.0,66270.0,66270.0,4.36999,1784627939999,289625.4600324,1172,3.07405,203733.2976233,0,1784627880
1784627940000,66270.0,66292.0,66270.0,66291.99,3.92191,1784627999999,259942.3831904,898,2.88848,191439.3378071,0,1784627940
1784628000000,66292.0,66309.33,66291.99,66292.01,9.04067,1784628059999,599412.6157126,2050,3.43779,227924.6166934,0,1784628000
1784628060000,66292.01,66299.99,66290.16,66299.99,5.3202,1784628119999,352683.6602197,569,4.37628,290109.7075751,0,1784628060
1784628120000,66300.0,66316.13,66290.16,66290.16,6.45132,1784628179999,427731.0873859,1710,2.2059,146254.9992357,0,1784628120
1784628180000,66290.16,66294.12,66280.99,66288.01,7.04458,1784628239999,466971.6853847,1972,3.57289,236834.0013556,0,1784628180
1784628240000,66288.0,66298.0,66276.82,66298.0,3.28415,1784628299999,217680.6001108,1843,2.02012,133899.4469151,0,1784628240
1784628300000,66298.0,66321.79,66297.99,66310.0,4.11849,1784628359999,273097.5073348,1436,2.75565,182724.6515563,0,1784628300
1784628360000,66310.01,66310.01,66306.3,66306.3,2.74176,1784628419999,181798.6699555,799,0.72797,48269.5238872,0,1784628360
1784628420000,66306.3,66306.31,66269.28,66269.29,6.18098,1784628479999,409673.7081506,1886,0.3839,25449.9125497,0,1784628420
1784628480000,66269.28,66276.0,66269.1,66275.99,5.22986,1784628539999,346588.2897365,957,3.63161,240666.3955982,0,1784628480
1784628540000,66276.0,66308.58,66272.0,66302.77,7.20452,1784628599999,477584.159148,2288,4.21874,279658.9576963,0,1784628540
1784628600000,66302.77,66375.9,66302.76,66375.89,14.32651,1784628659999,950547.2804486,3364,9.36306,621218.2605497,0,1784628600
1784628660000,66375.9,66401.1,66362.45,66362.45,13.73981,1784628719999,912183.5375387,3669,9.48535,629769.3079134,0,1784628660
1784628720000,66362.44,66362.44,66337.42,66337.42,3.44866,1784628779999,228809.2183401,1859,1.21769,80789.8711297,0,1784628720
1784628780000,66337.43,66376.0,66337.42,66375.99,3.97814,1784628839999,263977.1048235,2390,2.79212,185272.1201136,0,1784628780
1784628840000,66375.99,66380.0,66354.37,66360.01,4.56307,1784628899999,302823.8687171,1630,2.41119,160006.3427197,0,1784628840
1784628900000,66360.02,66401.1,66360.01,66396.93,9.71076,1784628959999,644608.9263649,1487,7.30993,485236.6081787,0,1784628900
1784628960000,66396.94,66401.1,66372.78,66372.79,17.15899,1784629019999,1139143.0940677,1914,7.73911,513728.2094069,0,1784628960
1784629020000,66372.79,66378.61,66363.28,66366.52,3.69198,1784629079999,245036.4345611,1410,1.34896,89530.4607924,0,1784629020
1784629080000,66366.52,66366.53,66336.0,66336.0,7.33254,1784629139999,486572.6009061,1598,1.41993,94233.2034193,0,1784629080
1784629140000,66336.0,66382.0,66336.0,66377.09,8.3849,1784629199999,556448.5735716,1765,6.15198,408250.3244084,0,1784629140
1784629200000,66377.08,66377.09,66350.0,66350.01,4.09558,1784629259999,271803.0616387,1869,1.73037,114836.7137965,0,1784629200
1784629260000,66350.01,66353.24,66342.0,66346.08,17.37192,1784629319999,1152561.4979826,1464,14.0377,931345.0867631,0,1784629260
1784629320000,66346.09,66360.0,66313.96,66357.65,14.5522,1784629379999,965474.193766,2282,7.36405,488568.7154147,0,1784629320
1784629380000,66357.66,66366.69,66344.0,66344.01,11.79896,1784629439999,782962.3144874,1639,6.22269,412932.2344168,0,1784629380
1784629440000,66344.0,66400.58,66344.0,66394.68,100.61428,1784629499999,6679101.2808694,2256,49.70042,3298813.4621765,0,1784629440
1784629500000,66394.68,66394.69,66371.51,66371.51,20.86047,1784629559999,1384781.1246631,1919,11.81623,784403.8035991,0,1784629500
1784629560000,66371.52,66375.13,66350.39,66375.12,7.27666,1784629619999,482914.3154688,1672,2.64361,175440.8143253,0,1784629560
1784629620000,66375.11,66400.01,66375.11,66400.0,28.13171,1784629679999,1867567.9549431,1084,22.26678,1478164.4177331,0,1784629620
1784629680000,66400.01,66400.01,66390.0,66390.0,65.11305,1784629739999,4323330.7506589,990,16.3389,1084883.912389,0,1784629680
1784629740000,66390.0,66420.59,66390.0,66420.0,36.46938,1784629799999,2421630.5882733,1397,28.06781,1863703.0938733,0,1784629740
1784629800000,66420.0,66420.01,66380.76,66380.77,33.9988,1784629859999,2257678.7675647,1748,2.54425,168902.7920262,0,1784629800
1784629860000,66380.76,66398.0,66380.76,66397.99,7.40975,1784629919999,491920.3272869,1342,5.20114,345295.3459687,0,1784629860
1784629920000,66397.99,66401.99,66397.99,66401.98,4.77572,1784629979999,317110.0960628,755,2.36966,157346.0463386,0,1784629920
1784629980000,66401.99,66408.0,66386.44,66386.67,24.24579,1784630039999,1609782.0672379,1644,4.27851,284086.2072408,0,1784629980
1784630040000,66386.67,66403.55,66380.16,66403.54,7.34125,1784630099999,487362.7864619,1675,4.37956,290741.3791122,0,1784630040
1784630100000,66403.55,66420.65,66400.0,66420.05,25.37269,1784630159999,1685027.5712698,2010,16.66308,1106659.3214911,0,1784630100
1784630160000,66420.05,66420.05,66378.1,66400.0,22.49159,1784630219999,1493304.5214918,2705,12.97382,861352.2490541,0,1784630160
1784630220000,66400.01,66408.01,66374.31,66400.0,53.68035,1784630279999,3564243.0621939,2734,30.04826,1995024.1222625,0,1784630220
1784630280000,66400.01,66402.0,66394.0,66394.01,6.89625,1784630339999,457910.2725529,849,1.45279,96464.1808315,0,1784630280
1784630340000,66394.0,66394.01,66372.0,66372.0,5.06207,1784630399999,336040.7179756,1573,0.46486,30860.0926111,0,1784630340
1784630400000,66372.01,66372.01,66331.99,66332.0,8.7634,1784630459999,581474.3618895,1779,1.21236,80452.7862733,0,1784630400
1784630460000,66331.99,66346.0,66328.97,66331.92,6.83587,1784630519999,453465.6696696,1784,2.84266,188568.7445055,0,1784630460
1784630520000,66331.93,66348.01,66328.0,66348.0,28.42332,1784630579999,1885535.2519268,1392,25.16299,1669252.0513354,0,1784630520
1784630580000,66348.0,66411.29,66343.98,66393.38,99.57896,1784630639999,6608538.9140378,3015,52.07367,3456197.4089205,0,1784630580
1784630640000,66393.37,66394.63,66355.87,66355.88,24.69555,1784630699999,1639339.7405109,2310,9.98601,662902.4318232,0,1784630640
1784630700000,66355.87,66362.0,66346.42,66361.99,8.03443,1784630759999,533083.9406004,1453,3.87331,256989.9669685,0,1784630700
1784630760000,66361.99,66362.0,66335.22,66340.23,21.42987,1784630819999,1421632.5117473,1940,15.37165,1019702.5575711,0,1784630760
1784630820000,66340.23,66352.0,66340.2,66348.01,11.10229,1784630879999,736567.6879753,1040,4.3882,291118.030021,0,1784630820
1784630880000,66348.0,66348.01,66340.2,66340.2,8.75095,1784630939999,580557.9645175,835,0.96261,63861.7473706,0,1784630880
1784630940000,66340.21,66349.9,66311.06,66311.06,13.34343,1784630999999,885162.8439043,2124,6.39208,424063.8611452,0,1784630940
1784631000000,66311.06,66311.07,66213.99,66213.99,16.78964,1784631059999,1112498.0813,3874,1.02703,68050.1787677,0,1784631000
1784631060000,66214.0,66227.36,66183.57,66227.36,19.09653,1784631119999,1264140.5728179,3470,10.66124,705756.9273515,0,1784631060
1784631120000,66227.36,66258.0,66200.0,66226.0,107.41302,1784631179999,7112873.4566915,2343,35.2228,2331951.4770651,0,1784631120
